"EMD-","Status","Entry Title","Entry Authors","Deposit Date","Resolution (Å)","Associated PDB","Citation Title"
"0477","REL","Cryo-EM structure of human TPC2 channel in the ligand-bound open state","She J, Zeng W, Guo J, Chen Q, Bai X, Jiang Y","2019-01-18","3.7","6nq0","Structural mechanisms of phospholipid activation of the human TPC2 channel."
"0478","REL","Cryo-EM structure of human TPC2 channel in the apo state","She J, Zeng W, Guo J, Chen Q, Bai X, Jiang Y","2019-01-18","3.5","6nq1","Structural mechanisms of phospholipid activation of the human TPC2 channel."
"0479","REL","Cryo-EM structure of human TPC2 channel in the ligand-bound closed state","She J, Zeng W, Guo J, Chen Q, Bai X, Jiang Y","2019-01-18","3.4","6nq2","Structural mechanisms of phospholipid activation of the human TPC2 channel."
"0480","REL","Active state Dot1L bound to the H2B-Ubiquitinated nucleosome  1-to-1 complex","Worden EJ, Hoffmann NA, Wolberger C","2019-01-19","3.5","6nqa","Mechanism of Cross-talk between H2B Ubiquitination and H3 Methylation by Dot1L."
"0482","REL","Role of Era in Assembly and Homeostasis of the Ribosomal Small Subunit","Ortega J","2019-01-20","3.8","6nqb","Role of Era in assembly and homeostasis of the ribosomal small subunit."
"0483","REL","Role of Era in Assembly and Homeostasis of the Ribosomal Small Subunit","Ortega J, Davis JH, Hao Y, Jahagirdar D, Thurlow B, Basu K, Jain N, Gomez-Blanco J, Britton RA, Vargas J, Guarne A, Woodson SA, Williamson JR, Ortega J","2019-01-20","3.9","","Role of Era in assembly and homeostasis of the ribosomal small subunit."
"0484","REL","Role of Era in Assembly and Homeostasis of the Ribosomal Small Subunit","Ortega J, Davis JH, Hao Y, Jahagirdar D, Thurlow B, Basu K, Jain N, Gomez-Blanco J, Britton RA, Vargas J, Guarne A, Woodson SA, Williamson JR, Ortega J","2019-01-20","3.5","","Role of Era in assembly and homeostasis of the ribosomal small subunit."
"0485","REL","Cryo-EM structure of T/F100 SOSIP.664 HIV-1 Env trimer in complex with 8ANC195 Fab","Fang Q, Rossmann MG","2019-01-21","3.9","6nqd","A sequestered fusion peptide in the structure of an HIV-1 transmitted founder envelope trimer."
"0487","REL","Cryo-EM structure of the TRPM8 ion channel in complex with the menthol analog WS-12 and PI(4 5)P2","Yin Y, Le SC, Hsu AL, Borgnia MJ, Yang H, Lee S-Y","2019-01-22","4","6nr2","Structural basis of cooling agent and lipid sensing by the cold-activated TRPM8 channel."
"0488","REL","Cryo-EM structure of the TRPM8 ion channel in complex with high occupancy icilin  PI(4 5)P2  and calcium","Yin Y, Le SC, Hsu AL, Borgnia MJ, Yang H, Lee S-Y","2019-01-22","3.4","6nr3","Structural basis of cooling agent and lipid sensing by the cold-activated TRPM8 channel."
"0498","REL","CryoEM structure of Helicobacter pylori urea channel in closed state","Cui YX, Zhou K, Strugatsky D, Wen Y, Sachs G, Munson K, Zhou ZH","2019-01-24","2.7","6nsj","pH-dependent gating mechanism of theHelicobacter pyloriurea channel revealed by cryo-EM."
"0499","REL","CryoEM structure of Helicobacter pylori urea channel in open state.","Cui YX, Zhou K, Strugatsky D, Wen Y, Sachs G, Munson K, Zhou ZH","2019-01-24","2.7","6nsk","pH-dependent gating mechanism of theHelicobacter pyloriurea channel revealed by cryo-EM."
"0500","REL","Cryo-EM structure of a human-cockroach hybrid Nav channel.","Clairfeuille T, Rohou A, Payandeh J","2019-01-28","3.4","6nt3","Cryo-EM structures of a human-cockroach hybrid Nav channel in the presence and absence of the alpha-scorpion toxin AaH2."
"0501","REL","Cryo-EM structure of a human-cockroach hybrid Nav channel bound to alpha-scorpion toxin AaH2.","Clairfeuille T, Rohou A, Payandeh J","2019-01-28","3.5","6nt4","Structural basis of alpha-scorpion toxin action on Na v channels."
"0503","REL","Cryo-EM structure of full-length chicken STING in the apo state","Shang G, Zhang C, Chen ZJ, Bai X, Zhang X","2019-01-28","4","6nt6","Cryo-EM structures of STING reveal its mechanism of activation by cyclic GMP-AMP."
"0504","REL","Cryo-EM structure of full-length chicken STING in the cGAMP-bound dimeric state","Shang G, Zhang C, Chen ZJ, Bai X, Zhang X","2019-01-28","4","6nt7","Cryo-EM structures of STING reveal its mechanism of activation by cyclic GMP-AMP."
"0506","REL","Cryo-EM structure of the complex between human TBK1 and chicken STING","Shang G, Zhang C, Chen ZJ, Bai X, Zhang X","2019-01-28","3.3","6nt9","Structural basis of STING binding with and phosphorylation by TBK1."
"0510","REL","Protein Phosphatase 2A (Aalpha-B56alpha-Calpha) holoenzyme in complex with a Small Molecule Activator of PP2A (SMAP)","Huang W, Taylor D","2019-01-30","3.6","6nts","Selective PP2A Enhancement through Biased Heterotrimer Stabilization."
"0514","REL","Structural insights into unique features of the human mitochondrial ribosome recycling","Sharma MR, Koripella RK, Agrawal RK","2019-01-30","3.9","6nu2","Structural insights into unique features of the human mitochondrial ribosome recycling."
"0516","REL","Small conformation of ssRNA-bound CRISPR_Csm complex","Zhang K, Pintilie G, Li S, Zhu Y, Chiu W, Huang Z","2019-01-31","3.5","6nud","Coupling of ssRNA cleavage with DNase activity in type III-A CRISPR-Csm revealed by cryo-EM and biochemistry."
"0517","REL","Big conformation of ssRNA-bound CRISPR_Csm complex","Zhang K, Pintilie G, Li S, Zhu Y, Chiu W, Huang Z","2019-01-31","3.4","","Coupling of ssRNA cleavage with DNase activity in type III-A CRISPR-Csm revealed by cryo-EM and biochemistry."
"0518","REL","Big conformation of apo CRISPR_Csm complex","Zhang K, Pintilie G, Li S, Zhu Y, Chiu W, Huang Z","2019-01-31","3.4","","Coupling of ssRNA cleavage with DNase activity in type III-A CRISPR-Csm revealed by cryo-EM and biochemistry."
"0519","REL","Small conformation of apo CRISPR_Csm complex","Zhang K, Pintilie G, Li S, Zhu Y, Chiu W, Huang Z","2019-01-31","3.3","6nue","Coupling of ssRNA cleavage with DNase activity in type III-A CRISPR-Csm revealed by cryo-EM and biochemistry."
"0520","REL","SARS-Coronavirus NSP12 bound to NSP7 and NSP8 co-factors","Kirchdoerfer RN, Ward AB","2019-02-01","3.1","6nur","Structure of the SARS-CoV nsp12 polymerase bound to nsp7 and nsp8 co-factors."
"0521","REL","SARS-Coronavirus NSP12 bound to NSP8 co-factor","Kirchdoerfer RN, Ward AB","2019-02-01","3.5","6nus","Structure of the SARS-CoV nsp12 polymerase bound to nsp7 and nsp8 co-factors."
"0524","REL","The structure of the photosystem I IsiA super-complex","Toporik H, Li J, Williams D, Chiu PL, Mazor Y","2019-02-06","3.5","6nwa","The structure of the stress-induced photosystem I-IsiA antenna supercomplex."
"0526","REL","Structure of drug-like molecule stalled USO1 ribosome nascent chain complex (human)","Li W, Cate JHD","2019-02-06","3.5","6oli","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule."
"0535","REL","Cryo-EM Reconstruction of Protease-Activateable Adeno-Associated Virus 9 (AAV9-L001)","Bennett AB, Agbandje-Mckenna M","2019-02-08","3.2","6nxe","Protease-Activatable Adeno-Associated Virus Vector for Gene Delivery to Damaged Heart Tissue."
"0542","REL","Helicobacter pylori Vacuolating Cytotoxin A Oligomeric Assembly 1 (OA-1)","Zhang K, Zhang H, Li S, Au S, Chiu W","2019-02-11","3.2","6nyf","Cryo-EM structures ofHelicobacter pylorivacuolating cytotoxin A oligomeric assemblies at near-atomic resolution."
"0543","REL","Helicobacter pylori Vacuolating Cytotoxin A Oligomeric Assembly 2a (OA-2a)","Zhang K, Zhang H, Li S, Au S, Chiu W","2019-02-11","3.9","6nyg","Cryo-EM structures ofHelicobacter pylorivacuolating cytotoxin A oligomeric assemblies at near-atomic resolution."
"0544","REL","Helicobacter pylori Vacuolating Cytotoxin A Oligomeric Assembly 2b (OA-2b)","Zhang K, Zhang H, Li S, Au S, Chiu W","2019-02-11","3.2","6nyj","Cryo-EM structures ofHelicobacter pylorivacuolating cytotoxin A oligomeric assemblies at near-atomic resolution."
"0545","REL","Helicobacter pylori Vacuolating Cytotoxin A Oligomeric Assembly 2c (OA-2c)","Zhang K, Zhang H, Li S, Au S, Chiu W","2019-02-11","3.7","6nyl","Cryo-EM structures ofHelicobacter pylorivacuolating cytotoxin A oligomeric assemblies at near-atomic resolution."
"0546","REL","Helicobacter pylori Vacuolating Cytotoxin A Oligomeric Assembly 2d (OA-2d)","Zhang K, Zhang H, Li S, Au S, Chiu W","2019-02-11","3.6","6nym","Cryo-EM structures ofHelicobacter pylorivacuolating cytotoxin A oligomeric assemblies at near-atomic resolution."
"0547","REL","Helicobacter pylori Vacuolating Cytotoxin A Oligomeric Assembly 2e (OA-2e)","Zhang K, Zhang H, Li S, Au S, Chiu W","2019-02-11","3.5","6nyn","Cryo-EM structures ofHelicobacter pylorivacuolating cytotoxin A oligomeric assemblies at near-atomic resolution."
"0552","REL","human m-AAA protease AFG3L2  substrate-bound","Lander GC, Puchades C","2019-02-12","3","6nyy","Unique Structural Features of the Mitochondrial AAA+ Protease AFG3L2 Reveal the Molecular Basis for Activity in Health and Disease."
"0553","REL","Cryo-EM structure of AAV-2 in complex with AAVR PKD domains 1 and 2","Meyer NL, Xie Q, Davulcu O, Yoshioka C, Chapman MS","2019-02-12","2.4","6nz0","Structure of the gene therapy vector, adeno-associated virus with its cell receptor, AAVR."
"0554","REL","Cryo-EM Structure of the Lysosomal Folliculin Complex (FLCN-FNIP2-RagA-RagC-Ragulator)","Fromm SA, Young LN, Hurley JH","2019-02-13","3.6","6nzd","Structural mechanism of a Rag GTPase activation checkpoint by the lysosomal folliculin complex."
"0557","REL","Structural basis for human coronavirus attachment to sialic acid receptors","Tortorici MA, Walls AC, Lang Y, Wang C, Li Z, Koerhuis D, Boons GJ, Bosch BJ, Rey FA, de Groot R, Veesler D","2019-02-13","2.8","6nzk","Structural basis for human coronavirus attachment to sialic acid receptors."
"0559","REL","Set2 bound to nucleosome","Halic M, Bilokapic S","2019-02-14","3.8","6nzo","Nucleosome and ubiquitin position Set2 to methylate H3K36."
"0560","REL","Structure of the human frataxin-bound iron-sulfur cluster assembly complex","Fox NG, Yu X, Xidong F, Alain M, Joseph N, Claire SD, Christine B, Han S, Yue WW","2019-02-14","3.2","6nzu","Structure of the human frataxin-bound iron-sulfur cluster assembly complex provides insight into its activation mechanism."
"0561","REL","Structure of the human frataxin-bound iron-sulfur cluster assembly complex","Fox NG, Yu X","2019-02-14","3.4","","Structure of the human frataxin-bound iron-sulfur cluster assembly complex provides insight into its activation mechanism."
"0562","REL","LRRC8A-DCPIB in MSP1E3D1 nanodisc constricted state","Kern DM, Hite RK, Brohawn SG","2019-02-14","3.2","6nzw","Cryo-EM structures of the DCPIB-inhibited volume-regulated anion channel LRRC8A in lipid nanodiscs."
"0563","REL","LRRC8A-DCPIB in MSP1E3D1 nanodisc expanded state","Kern DM, Hite RK, Brohawn SG","2019-02-14","3.3","6nzz","Cryo-EM structures of the DCPIB-inhibited volume-regulated anion channel LRRC8A in lipid nanodiscs."
"0565","REL","Extracellular factors prime enterovirus particles for uncoating","Domanska A, Ruokolainen V, Pelliccia M, Laajala M, Butcher SJ, Marjomaki VS","2019-02-15","3.6","6o06","Extracellular Albumin and Endosomal Ions Prime Enterovirus Particles for Uncoating That Can Be Prevented by Fatty Acid Saturation."
"0567","REL","Cryo-EM structure of human ATP-citrate lyase in complex with inhibitor NDI-091143","Wei J, Tong L","2019-02-16","3.7","6o0h","An allosteric mechanism for potent inhibition of human ATP-citrate lyase."
"0583","REL","Conformational states of Cas9-sgRNA-DNA ternary complex in the presence of magnesium","Zhu X, Clarke R, Puppala AK, Chittori S, Merk A, Merrill BJ, Simonovic M, Subramaniam S","2019-02-17","3.3","6o0x","Cryo-EM structures reveal coordinated domain motions that govern DNA cleavage by Cas9."
"0584","REL","Conformational states of Cas9-sgRNA-DNA ternary complex in the presence of magnesium","Zhu X, Clarke R, Puppala AK, Chittori S, Merk A, Merrill BJ, Simonovic M, Subramaniam S","2019-02-17","3.4","6o0y","Cryo-EM structures reveal coordinated domain motions that govern DNA cleavage by Cas9."
"0585","REL","Conformational states of Cas9-sgRNA-DNA ternary complex in the presence of magnesium","Zhu X, Clarke R, Puppala AK, Chittori S, Merk A, Merrill BJ, Simonovic M, Subramaniam S","2019-02-17","3.3","6o0z","Cryo-EM structures reveal coordinated domain motions that govern DNA cleavage by Cas9."
"0586","REL","Cryo-EM structure of the centromeric nucleosome with native alpha satellite DNA","Zhou B-R","2019-02-19","3.4","6o1d","Atomic resolution cryo-EM structure of a native-like CENP-A nucleosome aided by an antibody fragment."
"0589","REL","Cryo-EM structure of the human TFIIH core complex: Map classified for presence of the p62 BSD2 domain.","Greber BJ, Toso D, Fang J, Nogales E","2019-02-19","3.9","","The complete structure of the human TFIIH core complex."
"0590","REL","Architectural principles for Hfq/Crc-mediated regulation of gene expression. Hfq-Crc-amiE 2:2:2 complex (core complex)","Pei XY, Dendooven T, Sonnleitner E, Chen S, Blasi U, Luisi BF","2019-02-20","3.1","6o1k","Architectural principles for Hfq/Crc-mediated regulation of gene expression"
"0591","REL","Architectural principles for Hfq/Crc-mediated regulation of gene expression Hfq-Crc-amiE 2:3:2 complex","Pei XY, Dendooven T, Sonnleitner E, Chen S, Blasi U, Luisi BF","2019-02-20","3.4","6o1l","Architectural principles for Hfq/Crc-mediated regulation of gene expression."
"0592","REL","Architectural principles for Hfq/Crc-mediated regulation of gene expression. Hfq-Crc-amiE 2:4:2 complex","Pei XY, Dendooven T, Sonnleitner E, Chen S, Blasi U, Luisi BF","2019-02-20","3.2","6o1m","Architectural principles for Hfq/Crc-mediated regulation of gene expression."
"0593","REL","Cryo-EM structure of TRPV5 (1-660) in nanodisc","Dang S, van Goor MK, Asarnow D, Wang Y, Julius D, Cheng Y, van der Wijst J","2019-02-21","2.9","6o1n","Structural insight into TRPV5 channel function and modulation."
"0594","REL","Cryo-EM structure of full length TRPV5 in nanodisc","Dang S, van Goor MK, Asarnow D, Wang Y, Julius D, Cheng Y, van der Wijst J","2019-02-21","3","6o1p","Structural insight into TRPV5 channel function and modulation."
"0596","REL","Structure of a drug-like molecule stalled PCSK9 ribosome nascent chain complex (PCSK9-RNC) with AP tRNA and PE tRNA","Li W, Cate JHD","2019-02-21","3.1","6om0","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule."
"0597","REL","Structure of a drug-like molecule stalled ribosome nascent chain complex (PCSK9-RNC) in rotated state with AA tRAN and PE tRNA","Li W, Cate JHD","2019-02-21","3.7","6om7","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule."
"0598","REL","Structure of a drug-like molecule stalled ribosome nascent chain complex (PCSK9_RNC) in non-rotated state with PP tRNA","Li W, Cate JHD","2019-02-21","3.9","6olz","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule."
"0599","REL","Structure of a drug-like molecule stalled CDH1 ribosome nascent chain complex (CDH1-RNC) in rotated state with AA tRNA and PE tRNA","Li W, Cate JHD","2019-02-21","3.9","6olf","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule."
"0600","REL","Human ribosome nascent chain complex (CDH1-RNC) stalled by a drug-like molecule with AP tRNA and PE tRNA","Li W, Cate JHD","2019-02-21","3","6ole","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule."
"0601","REL","Human ribosome nascent chain complex (CDH1-RNC) stalled by a drug-like molecule with PP tRNA","Li W, Cate JHD","2019-02-21","3.4","6olg","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule."
"0602","REL","Cryo-EM structure of the human TFIIH core complex: Multibody-refined map  body 1","Greber BJ, Toso D, Fang J, Nogales E","2019-02-21","3.8","","The complete structure of the human TFIIH core complex."
"0603","REL","Cryo-EM structure of the human TFIIH core complex: Multibody-refined map  body 2","Greber BJ, Toso D, Fang J, Nogales E","2019-02-21","3.6","","The complete structure of the human TFIIH core complex."
"0604","REL","Cryo-EM structure of the human TFIIH core complex: Multibody-refined map  body 3","Greber BJ, Toso D, Fang J, Nogales E","2019-02-21","3.7","","The complete structure of the human TFIIH core complex."
"0605","REL","Cryo-EM structure of TRPV5 W583A in nanodisc","Dang S, van Goor MK, Asarnow D, Wang Y, Julius D, Cheng Y, van der Wijst J","2019-02-21","2.8","6o1u","Structural insight into TRPV5 channel function and modulation."
"0606","REL","Complex of human cystic fibrosis transmembrane conductance regulator (CFTR) and GLPG1837","Zhang Z, Liu F, Chen J, Levit A, Shoichet B","2019-02-21","3.2","6o1v","Structural identification of a hotspot on CFTR for potentiation."
"0607","REL","Cryo-EM structure of TRPV5 with calmodulin bound","Dang S, van Goor MK, Asarnow D, Wang Y, Julius D, Cheng Y, van der Wijst J","2019-02-22","3.3","6o20","Structural insight into TRPV5 channel function and modulation."
"0609","REL","Reconstruction of CDTb Double Heptamer Short Form using C7 Symmetry","Lacy DB, Sheedlo MJ, Anderson DM","2019-02-24","3.7","6o2n","Structural insights into the transition of Clostridioides difficile binary toxin from prepore to pore."
"0611","REL","Complex of ivacaftor with cystic fibrosis transmembrane conductance regulator (CFTR)","Liu F, Zhang Z, Chen J, Levit A, Shoichet B","2019-02-24","3.3","6o2p","Structural identification of a hotspot on CFTR for potentiation."
"0618","REL","Icosahedral reconstruction of the thermophilic bacteriophage P74-26 capsid","Stone NP, Demo G, Agnello E, Kelch BA","2019-02-26","2.8","6o3h","Principles for enhancing virus capsid capacity and stability from a thermophilic virus capsid structure."
"0625","REL","Human MCU-EMRE complex  dimer of channel","Wang Y, Bai X, Jiang Y","2019-03-01","3.8","6o58","Structural Mechanism of EMRE-Dependent Gating of the Human Mitochondrial Calcium Uniporter."
"0626","REL","Monomer of a cation channel","Wang Y, Bai X, Jiang Y","2019-03-01","3.6","6o5b","Structural Mechanism of EMRE-Dependent Gating of the Human Mitochondrial Calcium Uniporter."
"0631","REL","Structure of the TRPM8 cold receptor by single particle electron cryo-microscopy  ligand-free state","Diver MM, Cheng Y, Julius D","2019-03-05","3.6","6o6a","Structural insights into TRPM8 inhibition and desensitization."
"0632","REL","Rotavirus A-VP3 (RVA-VP3)","Kumar D, Yu X, Prasad V, Wang Z","2019-03-05","2.7","6o6b","A sub-atomic resolution cryo-EM of full-length Rotavirus A-VP3 (RVA-VP3)"
"0633","REL","RNA polymerase II elongation complex arrested at a CPD lesion","Lahiri I, Leshziner AE","2019-03-05","3.1","6o6c","3.1 angstrom structure of yeast RNA polymerase II elongation complex stalled at a cyclobutane pyrimidine dimer lesion solved using streptavidin affinity grids."
"0636","REL","Structure of the TRPM8 cold receptor by single particle electron cryo-microscopy  AMTB-bound state","Diver MM, Cheng Y, Julius D","2019-03-07","3.2","6o6r","Structural insights into TRPM8 inhibition and desensitization."
"0638","REL","Structure of the TRPM8 cold receptor by single particle electron cryo-microscopy  TC-I 2014-bound state","Diver MM, Cheng Y, Julius D","2019-03-07","3","6o72","Structural insights into TRPM8 inhibition and desensitization."
"0639","REL","Structure of the TRPM8 cold receptor by single particle electron cryo-microscopy  calcium-bound state","Diver MM, Cheng Y, Julius D","2019-03-07","3.2","6o77","Structural insights into TRPM8 inhibition and desensitization."
"0640","REL","Cryo-EM structure of Csm-crRNA-target RNA ternary complex in complex with AMPPNP in type III-A CRISPR-Cas system","Jia N, Patel DJ","2019-03-07","3.2","6o7e","Second Messenger cA4Formation within the Composite Csm1 Palm Pocket of Type III-A CRISPR-Cas Csm Complex and Its Release Path."
"0641","REL","Cryo-EM structure of Csm-crRNA-target RNA ternary complex in complex with cA4 in type III-A CRISPR-Cas system","Jia N, Patel DJ","2019-03-07","2.9","6o7h","Second Messenger cA4Formation within the Composite Csm1 Palm Pocket of Type III-A CRISPR-Cas Csm Complex and Its Release Path."
"0642","REL","Cryo-EM structure of Csm-crRNA-target RNA ternary bigger complex in complex with cA4 in type III-A CRISPR-Cas system","Jia N, Patel DJ","2019-03-07","3.2","6o7i","Second Messenger cA4Formation within the Composite Csm1 Palm Pocket of Type III-A CRISPR-Cas Csm Complex and Its Release Path."
"0644","REL","Saccharomyces cerevisiae V-ATPase Vph1-VO","Vasanthakumar T, Bueler SA, Wu D, Beilsten-Edmands V, Robinson CV, Rubinstein JL","2019-03-08","3.2","6o7t","Structural comparison of the vacuolar and Golgi V-ATPases fromSaccharomyces cerevisiae."
"0645","REL","Saccharomyces cerevisiae V-ATPase Stv1-VO","Vasanthakumar T, Bueler SA, Wu D, Beilsten-Edmands V, Robinson CV, Rubinstein JL","2019-03-08","3.1","6o7u","Structural comparison of the vacuolar and Golgi V-ATPases fromSaccharomyces cerevisiae."
"0649","REL","Electron cryo-microscopy of the eukaryotic translation initiation factor 2B bound to translation initiation factor 2 from Homo sapiens","Nguyen H, Kenner L, Frost A","2019-03-08","3.2","6o81","eIF2B-catalyzed nucleotide exchange and phosphoregulation by the integrated stress response."
"0650","REL","Cryo-EM structure of OTOP3 from xenopus tropicalis","Chen QF, Bai XC, Jiang YX","2019-03-08","3.9","6o84","Structural and functional characterization of an otopetrin family proton channel."
"0651","REL","Electron cryo-microscopy of the eukaryotic translation initiation factor 2B bound to eukaryotic translation initiation factor 2 from Homo sapiens","Nguyen HC, Kenner LR, Frost AS","2019-03-08","3","6o85","eIF2B-catalyzed nucleotide exchange and phosphoregulation by the integrated stress response."
"0652","REL","Structural basis of Dot1L stimulation by histone H2B lysine 120 ubiquitination. 3.5A reconstruction of Dot1L on H2BK120Ub nucleosome","Valencia-Sanchez MI, De Ioannes P, Wang M, Vasilyev N, Chen R, Nudler E, Armache J-P, Armache K-J","2019-03-09","3.5","6o96","Structural Basis of Dot1L Stimulation by Histone H2B Lysine 120 Ubiquitination."
"0656","REL","Cryo-EM image reconstruction of the 70S Ribosome Enterococcus faecalis Class01","Jogl G, Khayat R","2019-03-12","3.5","6o8w","Cryo-electron microscopy structure of the 70S ribosome from Enterococcus faecalis."
"0657","REL","Cryo-EM image reconstruction of the 70S Ribosome Enterococcus faecalis Class02","Jogl G, Khayat R","2019-03-12","3.7","6o8x","Cryo-electron microscopy structure of the 70S ribosome from Enterococcus faecalis."
"0659","REL","Cryo-EM image reconstruction of the 70S Ribosome Enterococcus faecalis Class04","Jogl G, Khayat R","2019-03-12","3.5","6o8z","Cryo-electron microscopy structure of the 70S ribosome from Enterococcus faecalis."
"0660","REL","Cryo-EM image reconstruction of the 70S Ribosome Enterococcus faecalis Class05","Jogl G, Khayat R","2019-03-12","3.5","6o90","Cryo-electron microscopy structure of the 70S ribosome from Enterococcus faecalis."
"0661","REL","70S Elongation Competent Ribosome","Frank J, Gonzalez Jr RL, Kaledhonkar S, Fu Z, Caban K, Li W, Chen B, Sun M","2019-03-14","3.9","6o9j","Late steps in bacterial translation initiation visualized using time-resolved cryo-EM."
"0662","REL","70S initiation complex","Frank J, Gonzalez Jr RL, kaledhonkar S, Fu Z, Caban K, Li W, Chen B, Sun M","2019-03-14","4","6o9k","Late steps in bacterial translation initiation visualized using time-resolved cryo-EM."
"0663","REL","The capsid structure of empty AAVrh.10 particles","Mietzsch M, Agbandje-McKenna M","2019-03-14","2.8","6o9r","Comparative Analysis of the Capsid Structures of AAVrh.10, AAVrh.39, and AAV8."
"0664","REL","Electron cryo-microscopy of the eukaryotic translation initiation factor 2B bound to eukaryotic translation initiation factor 2 from Homo sapiens","Nguyen HC, Kenner LR, Frost AS","2019-03-15","3","6o9z","eIF2B-catalyzed nucleotide exchange and phosphoregulation by the integrated stress response."
"0665","REL","Cdc48-Ufd1/Npl4 complex processing poly-ubiquitinated substrate in the presence of ATP","Twomey EC, Ji Z, Wales TE, Bodnar NO, Engen JR, Rapoport TA","2019-03-15","3.9","6oa9","Substrate processing by the Cdc48 ATPase complex is initiated by ubiquitin unfolding."
"0668","REL","Cryo-EM structure of the mammalian E-state ATP synthase FO section","Gu JK, Zhang LX, Yi JB, Yang MJ","2019-01-10","3.9","6j54","Cryo-EM structure of the mammalian ATP synthase tetramer bound with inhibitory protein IF1."
"0669","REL","Cryo-EM structure of the mammalian E-state ATP synthase","Gu JK, Zhang LX, Yi JB, Yang MJ","2019-01-10","3.5","6j5j","Cryo-EM structure of the mammalian ATP synthase tetramer bound with inhibitory protein IF1."
"0677","REL","Cryo-EM structure of the mammalian DP-state ATP synthase","Gu JK, Zhang LX, Yi JB, Yang MJ","2019-01-10","3.3","6j5i","Cryo-EM structure of the mammalian ATP synthase tetramer bound with inhibitory protein IF1."
"0678","REL","apo human LAT1-4F2hc complex","Yan RH, Zhao X, Lei JL, Zhou Q","2019-01-10","4","","Structure of the human LAT1-4F2hc heteromeric amino acid transporter complex."
"0679","REL","human LAT1-4F2hc complex bound with BCH  focused refined on BCH","Yan RH, Zhao X, Lei JL, Zhou Q","2019-01-10","3.7","","Structure of the human LAT1-4F2hc heteromeric amino acid transporter complex."
"0680","REL","Reconstitution and structure of a plant NLR resistosome conferring immunity","Wang JZ, Wang J, Hu MJ, Wang HW, Zhou JM, Chai JJ","2019-01-12","3.4","6j5t","Reconstitution and structure of a plant NLR resistosome conferring immunity."
"0681","REL","Ligand-triggered allosteric ADP release primes a plant NLR complex","Wang JZ, Wang J, Meijuan H, Wang HW, Zhou JM, Chai JJ","2019-01-12","3.9","6j5u","Ligand-triggered allosteric ADP release primes a plant NLR complex."
"0683","REL","Ligand-triggered allosteric ADP release primes a plant NLR complex","Wang JZ, Wang J, Hu MJ, Wang HW, Zhou JM, Chai JJ","2019-01-12","3.7","6j5w","Ligand-triggered allosteric ADP release primes a plant NLR complex."
"0684","REL","Cryo-EM structure of the catalytic activated yeast spliceosome (B* complex) assembled on ACT1 pre-mRNA at 2.9 angstrom resolution","Wan R, Bai R, Yan C, Lei J, Shi Y","2019-01-13","2.9","","Structures of the Catalytically Activated Yeast Spliceosome Reveal the Mechanism of Branching."
"0685","REL","Cryo-EM structure of the catalytic activated yeast spliceosome (B* complex) assembled on UBC4 pre-mRNA at 3.2 angstrom resolution","Wan R, Bai R, Yan C, Lei J, Shi Y","2019-01-13","3.2","","Structures of the Catalytically Activated Yeast Spliceosome Reveal the Mechanism of Branching."
"0686","REL","Cryo-EM structure of the yeast B*-a2 complex at an average resolution of 3.2 angstrom","Wan R, Bai R, Yan C, Lei J, Shi Y","2019-01-15","3.2","6j6g","Structures of the Catalytically Activated Yeast Spliceosome Reveal the Mechanism of Branching."
"0687","REL","Cryo-EM structure of the yeast B*-a1 complex at an average resolution of 3.6 angstrom","Wan R, Bai R, Yan C, Lei J, Shi Y","2019-01-15","3.6","6j6h","Structures of the Catalytically Activated Yeast Spliceosome Reveal the Mechanism of Branching."
"0688","REL","Reconstitution and structure of a plant NLR resistosome conferring immunity","Wang JZ, Wang J, Hu MJ, Wang HW, Zhou JM, Chai JJ","2019-01-15","3.7","6j6i","Reconstitution and structure of a plant NLR resistosome conferring immunity."
"0689","REL","The reconstruction of biotin-bound streptavidin at 3.2 Angstrom resolution","Fan X, Wang J, Lei JL, Wang HW","2019-01-15","3.2","6j6j","Single particle cryo-EM reconstruction of 52 kDa streptavidin at 3.2 Angstrom resolution."
"0690","REL","The reconstruction of apo-state streptavidin at 3.3 Angstrom resolution","Fan X, Wang J, Lei JL, Wang HW","2019-01-15","3.3","6j6k","Single particle cryo-EM reconstruction of 52 kDa streptavidin at 3.2 Angstrom resolution."
"0691","REL","Cryo-EM structure of the yeast B*-b1 complex at an average resolution of 3.86 angstrom","Wan R, Bai R, Yan C, Lei J, Shi Y","2019-01-15","3.9","6j6n","Structures of the Catalytically Activated Yeast Spliceosome Reveal the Mechanism of Branching."
"0692","REL","Cryo-EM structure of the yeast B*-b2 complex at an average resolution of 3.7 angstrom","Wan R, Bai R, Yan C, Lei J, Shi Y","2019-01-15","3.7","6j6q","Structures of the Catalytically Activated Yeast Spliceosome Reveal the Mechanism of Branching."
